ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,Population,% of world,Date
2,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.627,0.326,0.075,-0.166,-0.388,0.559,-0.074,0.081,-0.013,-0.106,-0.195,-0.069,-0.288,-0.139,-0.211,-0.683,0.545,-0.814,0.203,-0.414,-0.351,0.173,-0.128,-0.27,-0.103,0.569,-0.106,0.37,-0.066,0.795,-0.269,0.106,0.076,1.33,-0.172,-0.038,0.075,0.795,0.67,1.065,1.532,0.492,0.97,0.444,0.189,0.345,1.316,0.978,0.91,1.191,1.055,1.487,1.333,1.198,1.569,1.464,1.121,2.028,1.675,1.498,1.536,1.518,2363314,0.03,2025-01-01
3,Algeria,DZ,DZA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.164,0.114,0.077,0.25,-0.1,0.433,-0.026,-0.067,0.291,0.116,-0.385,-0.348,-0.015,-0.503,-0.539,-0.782,0.504,0.012,0.654,0.232,0.215,0.399,0.56,-0.004,0.508,0.296,0.975,1.304,0.386,1.266,0.031,-0.312,0.552,0.732,0.595,0.846,1.059,1.109,1.476,0.82,1.856,1.258,1.585,0.988,1.264,1.395,1.22,1.185,0.945,2.265,1.398,1.147,1.192,1.69,1.121,1.757,1.512,1.21,1.115,1.926,2.33,1.688,47400000,0.6,2025-01-01
6,Angola,AO,AGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.041,-0.152,-0.19,-0.229,-0.196,0.175,-0.081,-0.193,0.188,0.248,-0.097,-0.035,0.475,-0.158,-0.029,-0.313,0.272,0.037,0.291,0.279,-0.071,0.164,0.487,0.631,0.694,0.176,0.689,0.572,-0.055,0.687,0.341,0.466,0.256,0.212,0.753,0.37,0.107,1.064,0.417,0.169,0.295,0.735,0.889,0.414,1.021,0.561,0.885,0.501,0.708,1.194,0.88,0.552,1.044,0.828,1.331,1.609,0.87,1.395,1.752,1.162,1.553,1.212,36604681,0.4,2024-09-19
8,Antigua and Barbuda,AG,ATG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.09,0.031,0.288,0.214,-0.385,0.097,-0.192,-0.225,0.271,0.109,-0.233,-0.214,0.164,-0.377,-0.419,-0.467,0.076,0.161,0.16,0.646,0.564,0.162,0.489,0.009,-0.051,-0.023,0.649,0.395,-0.077,0.417,0.459,0.445,0.528,0.493,0.677,0.377,0.455,1.046,0.541,0.335,,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77,103603,0.001,2024-01-01
9,Argentina,AR,ARG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.122,-0.046,0.162,-0.343,0.09,-0.163,0.0,0.472,0.292,0.438,-0.26,-0.008,-0.139,-0.106,-0.021,-0.321,0.432,0.362,0.266,0.373,0.378,0.359,0.046,-0.1,0.308,0.46,0.446,-0.192,0.611,0.436,0.261,-0.261,0.086,0.487,0.259,0.512,0.759,0.351,0.16,-0.186,0.425,0.278,0.635,0.47,0.281,0.596,-0.169,0.601,0.857,0.135,0.386,0.798,0.442,0.951,0.957,0.488,1.095,0.878,0.76,1.123,1.031,0.643,46387098,0.6,2025-07-01
12,Australia,AU,AUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.157,0.126,-0.096,-0.012,0.14,-0.23,-0.093,-0.203,0.103,-0.007,-0.044,0.091,0.831,-0.354,0.048,-0.522,0.176,0.062,0.375,0.887,0.495,0.186,0.633,-0.157,0.349,0.388,0.363,0.96,0.153,0.549,0.82,0.281,0.484,0.221,0.413,0.604,0.383,1.092,0.58,0.148,0.336,0.736,0.835,0.723,1.211,0.721,0.929,0.625,1.03,0.673,0.208,0.308,1.499,1.198,1.087,1.172,1.141,1.129,1.422,1.416,0.629,0.754,27614400,0.3,2025-06-30
13,Austria,AT,AUT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",1.031,-0.621,-0.727,-0.371,-0.883,0.602,0.676,0.211,-0.126,-0.55,-0.06,0.103,-0.033,0.314,0.86,0.216,0.499,-0.476,-0.112,-0.274,0.277,0.384,1.062,-0.249,-0.568,0.319,-0.263,0.82,1.104,1.262,0.125,1.248,0.527,1.958,0.939,-0.203,0.514,1.343,0.986,1.769,1.501,1.531,1.464,0.829,0.628,0.907,2.137,1.582,1.544,0.656,1.373,1.783,1.098,2.409,2.167,2.096,1.741,2.524,2.37,2.315,1.395,2.498,9216459,0.1,2025-10-01
17,Bangladesh,BD,BGD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.152,-0.265,-0.09,0.107,-0.195,0.308,-0.226,-0.236,-0.007,-0.021,-0.579,-0.012,0.168,-0.125,-0.102,-0.104,-0.275,-0.216,0.495,0.128,-0.17,-0.041,-0.132,-0.322,0.05,0.026,0.341,0.341,0.064,-0.149,-0.024,-0.146,-0.446,0.175,0.173,0.137,-0.173,0.504,0.78,0.226,0.316,0.398,0.239,0.269,0.592,0.814,0.266,0.093,0.844,0.768,0.144,0.235,0.23,0.482,0.722,1.337,1.124,0.881,1.136,0.898,1.3,1.216,169828911,2.1,2022-06-14
18,Barbados,BB,BRB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.221,0.094,0.2,-0.011,-0.28,-0.149,-0.252,-0.363,0.31,0.074,-0.174,-0.015,0.006,-0.336,-0.556,-0.444,-0.054,0.248,0.042,0.485,0.304,0.165,0.281,-0.076,-0.263,-0.179,0.536,0.385,0.187,0.356,0.422,0.333,0.394,0.388,0.463,0.315,0.288,1.079,0.466,0.303,0.506,0.546,0.888,0.7,1.13,0.844,0.679,0.316,0.429,1.147,0.677,0.488,0.778,0.418,0.868,,,,,,,,267800,0.003,2022-12-31
20,Belgium,BE,BEL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.484,1.336,1.398,1.526,1.089,1.197,1.404,1.883,1.256,1.158,0.233,1.289,1.13,0.463,2.417,1.371,1.882,1.731,2.196,2.081,2.572,1.203,2.807,11924322,0.1,2025-11-01
21,Belize,BZ,BLZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.001,-0.137,-0.06,-0.055,-0.105,-0.195,-0.297,-0.205,0.26,-0.21,-0.275,0.442,0.347,0.101,-0.059,-0.416,0.134,-0.025,0.524,0.576,-0.068,0.526,0.685,0.254,0.455,0.135,0.35,0.46,0.173,0.339,0.542,0.311,0.447,0.756,0.759,0.21,0.866,0.904,0.422,0.175,0.445,0.733,0.948,0.701,0.849,0.655,0.85,0.579,0.922,0.843,0.724,0.644,0.785,0.697,1.502,1.446,1.342,0.85,1.556,1.716,1.286,1.031,417634,0.005,2025-07-01
22,Benin,BJ,BEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.137,-0.24,0.152,-0.218,-0.094,-0.007,-0.252,-0.129,0.303,0.305,-0.183,0.08,0.627,0.089,-0.274,-0.194,0.357,-0.045,0.499,0.425,0.161,0.211,0.548,0.542,0.411,0.307,0.977,0.631,-0.052,0.58,0.302,-0.027,0.531,0.439,0.406,0.736,0.557,1.042,0.621,0.449,0.517,0.721,0.936,0.706,1.105,1.035,0.806,0.632,0.95,1.23,0.949,0.595,0.853,0.94,1.111,1.025,1.16,1.056,1.147,1.031,1.522,0.884,13224860,0.2,2025-07-01
23,Bhutan,BT,BTN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.213,-0.292,-0.22,0.065,-0.565,0.14,-0.378,-0.478,0.102,-0.027,-0.227,-0.014,0.31,0.188,0.103,-0.042,-0.059,-0.213,0.414,0.081,0.212,-0.111,-0.286,-0.055,0.113,-0.068,0.256,0.567,0.22,-0.087,0.081,-0.229,-0.248,0.315,0.518,0.307,-0.3,0.825,1.022,0.214,0.72,0.492,0.498,0.476,0.745,0.955,0.978,0.555,1.394,1.202,0.534,0.512,0.742,0.86,1.068,1.487,1.457,1.346,1.329,1.09,1.707,1.523,784043,0.01,
24,Bolivia,BO,BOL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.247,0.012,0.409,-0.123,0.22,-0.083,0.332,-0.162,0.522,0.173,-0.583,0.13,0.227,-0.154,-0.087,-0.249,0.276,0.27,0.181,0.176,0.167,0.324,0.537,0.289,0.33,0.437,0.692,0.334,0.129,0.183,0.603,0.031,0.404,0.883,0.77,0.29,0.825,0.926,0.337,0.403,0.653,1.016,0.641,0.846,0.764,0.935,0.537,0.396,0.658,0.68,1.165,0.831,0.507,0.955,1.533,0.824,0.981,0.562,0.921,1.315,0.738,0.644,11365333,0.1,2024-03-23
25,Bosnia and Herzegovina,BA,BIH,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,0.248,1.691,0.286,-0.043,0.112,1.059,0.612,1.525,1.527,1.141,1.088,0.584,0.124,0.594,1.861,1.373,1.379,0.954,1.117,1.756,1.319,1.823,1.813,1.673,1.419,2.275,1.987,1.88,1.598,2.091,3412000,0.04,2024-07-01
26,Botswana,BW,BWA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.151,0.262,-0.472,-0.057,0.098,0.436,-0.458,-0.195,0.197,0.598,-0.126,-0.475,0.602,-0.746,-0.225,-0.717,0.3,-0.065,0.543,-0.038,-0.441,0.31,1.012,0.442,0.293,0.278,1.27,0.287,-0.306,0.738,0.062,0.813,0.512,-0.123,1.141,-0.319,-0.096,0.857,0.552,-0.718,-0.186,0.359,0.74,-0.133,1.039,-0.505,0.23,0.153,-0.319,0.936,-0.048,0.473,0.77,-0.092,1.546,1.469,0.017,0.734,1.525,0.493,-0.425,-1.305,2359609,0.03,2022-03-18
27,Brazil,BR,BRA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.167,-0.184,0.158,-0.213,-0.075,0.044,0.073,-0.409,0.331,0.13,-0.134,0.114,0.443,-0.179,-0.14,-0.185,0.252,0.03,0.017,0.313,0.191,0.277,0.471,0.294,0.092,0.285,0.722,0.461,0.13,0.435,0.468,0.403,0.495,0.608,0.799,0.504,0.671,1.234,0.523,0.495,0.746,1.052,0.927,0.768,1.085,0.77,0.969,0.731,0.969,1.112,0.814,1.023,0.922,1.153,1.516,1.457,1.363,1.148,1.517,1.477,1.154,0.926,213421037,2.6,2025-07-01
