Country,Population,% of world,Date
World,8232000000,100.0,2025-06-13
India,1417492000,17.2,2025-07-01
China,1404890000,17.1,2025-12-31
United States,341784857,4.2,2025-07-01
Indonesia,284438782,3.5,2025-06-30
Pakistan,241499431,2.9,2023-03-01
Nigeria,223800000,2.7,2023-07-01
Brazil,213421037,2.6,2025-07-01
Bangladesh,169828911,2.1,2022-06-14
Russia,146028325,1.8,2025-01-01
Mexico,130760049,1.6,2025-09-30
Japan,122950000,1.5,2026-01-01
Philippines,114123600,1.4,2025-07-01
Democratic Republic of the Congo,112832000,1.4,2025-07-01
Ethiopia,111652998,1.4,2025-07-01
Egypt,107868296,1.3,2025-07-01
Vietnam,102300000,1.2,2025-12-31
Iran,86563000,1.1,2025-03-20
Turkey,85664944,1.0,2024-12-31
Germany,83497147,1.0,2025-09-30
United Kingdom,69487000,0.8,2025-06-30
France,68736000,0.8,2025-11-01
Tanzania,68153004,0.8,2025-07-01
Thailand,65826149,0.8,2025-11-30
South Africa,63100945,0.8,2025-06-30
Italy,58956824,0.7,2025-10-31
Kenya,53330978,0.6,2025-07-01
Colombia,53057212,0.6,2025-01-01
Sudan,51662000,0.6,2025-07-01
Myanmar,51375327,0.6,2024-10-15
South Korea,51117378,0.6,2025-12-31
Spain,49442844,0.6,2025-10-01
Algeria,47400000,0.6,2025-01-01
Argentina,46387098,0.6,2025-07-01
Iraq,46118793,0.6,2025-02-24
Uganda,45905417,0.6,2024-05-10
Afghanistan,43844000,0.5,2025-07-01
Canada,41575585,0.5,2025-10-01
Uzbekistan,38236704,0.5,2026-01-01
Poland,37363000,0.5,2025-10-31
Morocco,36828330,0.4,2024-09-01
Angola,36604681,0.4,2024-09-19
Saudi Arabia,35300280,0.4,2024-07-01
Peru,34350244,0.4,2025-07-01
Malaysia,34281100,0.4,2025-09-30
Mozambique,34090466,0.4,2025-07-01
Ghana,33742380,0.4,2025-07-01
Yemen,32684503,0.4,2023-07-01
Madagascar,31727042,0.4,2025-07-01
Ivory Coast,31719275,0.4,2024-12-31
Nepal,29911840,0.4,
Cameroon,29442327,0.4,2025-07-01
Ukraine,28700000,0.3,2025-09-01
Venezuela,28517000,0.3,2025-07-01
Australia,27614400,0.3,2025-06-30
Niger,27522750,0.3,2025-07-01
North Korea,25950000,0.3,2024-07-01
Syria,25620427,0.3,2025-07-01
Burkina Faso,24070553,0.3,2025-07-01
Taiwan,23299132,0.3,2025-12-31
Mali,22395489,0.3,2022-06-15
